,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
221,For Sale,"1009 Court St, Clearwater, FL","Clearwater, Florida","$1,100,000",Land,Commercial,,https://www.loopnet.com/Listing/1009-Court-St-Clearwater-FL/17859558/,,"34,848 SF",,
222,For Sale,"500 S Holly Ave, Sanford, FL","Sanford, Florida","$1,495,000",Health Care,Rehab Center,"15,000 SF",https://www.loopnet.com/Listing/500-S-Holly-Ave-Sanford-FL/17819991/,,,B,
223,For Sale,"3000 Okeechhobee Blvd, Fort Pierce, FL","Fort Pierce, Florida","$1,599,000",Land,Commercial,,https://www.loopnet.com/Listing/3000-Okeechhobee-Blvd-Fort-Pierce-FL/17751543/,,"294,030 SF",,
224,For Sale,"4116 Land O Lakes Blvd, Land O Lakes, FL","Land O Lakes, Florida","$525,000",Land,Commercial,,https://www.loopnet.com/Listing/4116-Land-O-Lakes-Blvd-Land-O-Lakes-FL/17421950/,,"60,113 SF",,
225,For Sale,"25 W Government St, Pensacola, FL","Pensacola, Florida","$4,000,000",Office,Office,"14,946 SF",https://www.loopnet.com/Listing/25-W-Government-St-Pensacola-FL/17277730/,,,B,
226,For Sale,"Highway 98 @ Blue Angel Parkway, Pensacola, FL","Pensacola, Florida","$4,644,500",Land,Residential,,https://www.loopnet.com/Listing/Highway-98-Blue-Angel-Parkway-Pensacola-FL/17029517/,,"44,300,520 SF",,
227,For Sale,"2148 S Courtenay Pkwy, Merritt Island, FL","Merritt Island, Florida","$215,000",Land,Residential,,https://www.loopnet.com/Listing/2148-S-Courtenay-Pkwy-Merritt-Island-FL/16414595/,,"107,158 SF",,
228,For Sale,"130 Bushnell Plz, Bushnell, FL","Bushnell, Florida","$162,500",Office,Office Live/Work,"2,348 SF",https://www.loopnet.com/Listing/130-Bushnell-Plz-Bushnell-FL/15755904/,,,C,
229,For Sale,"246 E Howry Ave, Deland, FL","Deland, Florida","$250,000",Land,Commercial,,https://www.loopnet.com/Listing/246-E-Howry-Ave-Deland-FL/14898337/,,"24,829 SF",,
230,For Sale,"Corporate Way @ Little Rd, New Port Richey, FL","New Port Richey, Florida","$425,000",Land,Commercial,,https://www.loopnet.com/Listing/Corporate-Way-Little-Rd-New-Port-Richey-FL/13938400/,,"61,420 SF",,
231,For Sale,"3950 Lewis Speedway, Saint Augustine, FL","Saint Augustine, Florida","$4,400,000",Land,Commercial,,https://www.loopnet.com/Listing/3950-Lewis-Speedway-Saint-Augustine-FL/13874866/,,"209,088 SF",,
232,For Sale,"2310 S Ridgewood Ave, Edgewater, FL","Edgewater, Florida","$1,450,000",Land,Commercial,,https://www.loopnet.com/Listing/2310-S-Ridgewood-Ave-Edgewater-FL/13551217/,,"426,017 SF",,
233,For Sale,"W Union Street & Beaver St, Jacksonville, FL","Jacksonville, Florida","$690,000",Land,Commercial,,https://www.loopnet.com/Listing/W-Union-Street-Beaver-St-Jacksonville-FL/13279231/,,"27,007 SF",,
234,For Sale,"555 SW 12th Ave, Pompano Beach, FL","Pompano Beach, Florida","$5,500,000",Office,Office,"51,868 SF",https://www.loopnet.com/Listing/555-SW-12th-Ave-Pompano-Beach-FL/12629766/,,,,7.09%
235,For Sale,"298 SUNNYSIDE Dr, Leesburg, FL","Leesburg, Florida","$599,000",Land,Residential,,https://www.loopnet.com/Listing/298-SUNNYSIDE-Dr-Leesburg-FL/12383329/,,"1,424,848 SF",,
236,For Sale,"2614 NW 43rd St, Gainesville, FL","Gainesville, Florida","$2,291,700",Office,Office,"15,278 SF",https://www.loopnet.com/Listing/2614-NW-43rd-St-Gainesville-FL/11266400/,,,B,
237,For Sale,"Ponce De Leon Blvd, Brooksville, FL","Brooksville, Florida","$130,000",Land,Commercial,,https://www.loopnet.com/Listing/Ponce-De-Leon-Blvd-Brooksville-FL/11095472/,,"54,886 SF",,
238,For Sale,"800 E Broward Blvd, Fort Lauderdale, FL","Fort Lauderdale, Florida","$18,000,000",Office,Office,"40,971 SF",https://www.loopnet.com/Listing/800-E-Broward-Blvd-Fort-Lauderdale-FL/9071016/,,,B,
239,For Sale,"US 301, Bushnell, FL","Bushnell, Florida","$420,000",Land,Commercial,,https://www.loopnet.com/Listing/US-301-Bushnell-FL/8947870/,,"326,264 SF",,
240,For Sale,"300 N Ronald Reagan Blvd, Longwood, FL","Longwood, Florida","$1,700,000",Office,Office,"15,000 SF",https://www.loopnet.com/Listing/300-N-Ronald-Reagan-Blvd-Longwood-FL/3703224/,,,,7.04%
241,For Sale,"2930 Hospitality St, Tallahassee, FL","Tallahassee, Florida",Price Upon Request,Hospitality,Hotel,"43,524 SF",https://www.loopnet.com/Listing/2930-Hospitality-St-Tallahassee-FL/22932741/,,,,
242,For Sale,"2750 SW 145th Ave, Miramar, FL","Miramar, Florida",Price Upon Request,Office,Office,"64,192 SF",https://www.loopnet.com/Listing/2750-SW-145th-Ave-Miramar-FL/22850750/,,,A,
243,For Sale,"118 N Monroe St, Tallahassee, FL","Tallahassee, Florida",Price Upon Request,Office,Office,"28,000 SF",https://www.loopnet.com/Listing/118-N-Monroe-St-Tallahassee-FL/22692871/,,,B,
244,For Sale,"15511 N Florida Ave, Tampa, FL","Tampa, Florida",Price Upon Request,Office,Medical,"24,700 SF",https://www.loopnet.com/Listing/15511-N-Florida-Ave-Tampa-FL/22040252/,,,B,
245,For Sale,"150 Clearwater Dr, West Palm Beach, FL","West Palm Beach, Florida",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/150-Clearwater-Dr-West-Palm-Beach-FL/18256461/,,"435,600 SF",,
246,For Sale,Portfolio of 6 Properties,"Miami, Florida",Price Upon Request,Land,,,https://www.loopnet.com/Listing/portfolio/4016824/,,"27,504 SF",,
247,For Sale,"1312 Orange Ave, Fort Pierce, FL","Fort Pierce, Florida","$199,000",Land,Commercial,,https://www.loopnet.com/Listing/1312-Orange-Ave-Fort-Pierce-FL/3875972/,,"31,799 SF",,
248,For Sale,"900 N University Blvd, Jacksonville, FL","Jacksonville, Florida","$6,000,000",Office,Medical,"76,258 SF",https://www.loopnet.com/Listing/900-N-University-Blvd-Jacksonville-FL/23742078/,,,B,
249,For Sale,"State Road 29, Palmdale, FL","Palmdale, Florida","$243,300",Land,Industrial,,https://www.loopnet.com/Listing/State-Road-29-Palmdale-FL/23695257/,,"353,272 SF",,
250,For Sale,"222 Government Ave, Niceville, FL","Niceville, Florida","$105,000",Land,Commercial,,https://www.loopnet.com/Listing/222-Government-Ave-Niceville-FL/23559817/,,"27,007 SF",,
251,For Sale,"1300 Brickell Bay Dr, Miami, FL","Miami, Florida","$5,358,000",Multifamily,Apartment,"5,400 SF",https://www.loopnet.com/Listing/1300-Brickell-Bay-Dr-Miami-FL/23534138/,,,,
252,For Sale,"770 NW 54th St, Miami, FL","Miami, Florida","$399,000",Land,Commercial,,https://www.loopnet.com/Listing/770-NW-54th-St-Miami-FL/23486943/,,"8,102 SF",,
253,For Sale,"W Plymouth Ave, Deland, FL","Deland, Florida","$299,000",Land,Commercial,,https://www.loopnet.com/Listing/W-Plymouth-Ave-Deland-FL/23403713/,,"139,392 SF",,
254,For Sale,"150 N Santa Barbara Blvd, Cape Coral, FL","Cape Coral, Florida","$1,350,000",Land,Commercial,,https://www.loopnet.com/Listing/150-N-Santa-Barbara-Blvd-Cape-Coral-FL/22546085/,,"125,017 SF",,
255,For Sale,Portfolio of 2 Properties,"Decatur, Georgia",Price Upon Request,Retail,,"9,579 SF",https://www.loopnet.com/Listing/portfolio/16229850/,,"262,231 SF",,
256,For Sale,"4655 Timber Ridge Dr, Douglasville, GA","Douglasville, Georgia","$3,500,000",Office,Medical,"17,303 SF",https://www.loopnet.com/Listing/4655-Timber-Ridge-Dr-Douglasville-GA/12698456/,,,B,
258,For Sale,"137 Clear Creek Drive, Lavonia, GA","Lavonia, Georgia","$5,335,404",Office,Medical,"11,622 SF",https://www.loopnet.com/Listing/137-Clear-Creek-Drive-Lavonia-GA/23603960/,,,,5.50%
259,For Sale,"981 E Freeway Dr, Conyers, GA","Conyers, Georgia","$3,119,250",Office,Office,"10,483 SF",https://www.loopnet.com/Listing/981-E-Freeway-Dr-Conyers-GA/23603832/,,,,5.75%
260,For Sale,"1705 Norman Dr, Valdosta, GA","Valdosta, Georgia","$8,233,462",Retail,Storefront,"59,220 SF",https://www.loopnet.com/Listing/1705-Norman-Dr-Valdosta-GA/23514555/,,,,7.95%
261,For Sale,"1309-1315 Milstead Ave NE, Conyers, GA","Conyers, Georgia","$499,999",Office,Medical,"3,000 SF",https://www.loopnet.com/Listing/1309-1315-Milstead-Ave-NE-Conyers-GA/23476863/,,,,7%
262,For Sale,"125 Pine Ave, Albany, GA","Albany, Georgia","$1,300,000",Office,Loft/Creative Space,"15,578 SF",https://www.loopnet.com/Listing/125-Pine-Ave-Albany-GA/23467428/,,,,11.67%
263,For Sale,"1945 Mason Mill Rd, Decatur, GA","Decatur, Georgia","$1,200,000",Office,Office Live/Work,"3,600 SF",https://www.loopnet.com/Listing/1945-Mason-Mill-Rd-Decatur-GA/23263103/,,,B,
264,For Sale,"107 N McDonough St, Decatur, GA","Decatur, Georgia","$2,285,000",Land,Commercial,,https://www.loopnet.com/Listing/107-N-McDonough-St-Decatur-GA/22736824/,,"25,265 SF",,
265,For Sale,"3556 Lawrenceville Hwy, Tucker, GA","Tucker, Georgia","$1,500,000",Retail,Auto Repair,"7,300 SF",https://www.loopnet.com/Listing/3556-Lawrenceville-Hwy-Tucker-GA/22242849/,,,C,
266,For Sale,"111 Fieldstone Dr, Milledgeville, GA","Milledgeville, Georgia","$9,525,000",Office,Industr Live/Work,"276,551 SF",https://www.loopnet.com/Listing/111-Fieldstone-Dr-Milledgeville-GA/22242186/,,,,10.89%
267,For Sale,"37 E Currahee St, Toccoa, GA","Toccoa, Georgia","$106,900",Office,Office,"1,475 SF",https://www.loopnet.com/Listing/37-E-Currahee-St-Toccoa-GA/22184915/,,,C,
268,For Sale,"680 Roswell St, Marietta, GA","Marietta, Georgia","$1,300,000",Retail,Auto Repair,"6,152 SF",https://www.loopnet.com/Listing/680-Roswell-St-Marietta-GA/21684676/,,,B,
269,For Sale,"701 Ronald Reagan Dr, Evans, GA","Evans, Georgia","$1,200,000",Land,Commercial,,https://www.loopnet.com/Listing/701-Ronald-Reagan-Dr-Evans-GA/21393412/,,"60,113 SF",,
270,For Sale,"100 Professional Park Dr, Cumming, GA","Cumming, Georgia","$139,900",Land,Commercial,,https://www.loopnet.com/Listing/100-Professional-Park-Dr-Cumming-GA/21343184/,,"16,553 SF",,
271,For Sale,Portfolio of 2 Properties,"Albany, Georgia","$2,600,000",Mixed Types,,"75,891 SF",https://www.loopnet.com/Listing/portfolio/21278267/,,,,
272,For Sale,"1810 W Hill Ave, Valdosta, GA","Valdosta, Georgia","$2,170,000",Office,Office,"12,537 SF",https://www.loopnet.com/Listing/1810-W-Hill-Ave-Valdosta-GA/21081039/,,,,6.50%
273,For Sale,"41 Marietta St NW, Atlanta, GA","Atlanta, Georgia","$13,999,000",Office,Office,"135,000 SF",https://www.loopnet.com/Listing/41-Marietta-St-NW-Atlanta-GA/21036700/,,,B,
274,For Sale,Portfolio of 4 Properties,"Augusta, Georgia","$13,400,000",Office,,"62,587 SF",https://www.loopnet.com/Listing/portfolio/19756511/,,,,
275,For Sale,"1780 Oak Rd, Snellville, GA","Snellville, Georgia","$1,100,000",Office,Office,"9,211 SF",https://www.loopnet.com/Listing/1780-Oak-Rd-Snellville-GA/17751680/,,,B,
276,For Sale,"925 Laney Walker Blvd, Augusta, GA","Augusta, Georgia","$1,688,000",Office,Medical,"16,095 SF",https://www.loopnet.com/Listing/925-Laney-Walker-Blvd-Augusta-GA/17069856/,,,B,
277,For Sale,Portfolio of 19 Properties,Multiple Cities,"$14,500,000",Office,,"139,425 SF",https://www.loopnet.com/Listing/portfolio/17029520/,,,,7.75%
278,For Sale,"145 Southern Blvd, Savannah, GA","Savannah, Georgia","$1,950,000",Office,Office,"10,400 SF",https://www.loopnet.com/Listing/145-Southern-Blvd-Savannah-GA/16963324/,,,B,
279,For Sale,"Stilesboro Rd NW, Kennesaw, GA","Kennesaw, Georgia","$932,250",Land,Commercial,,https://www.loopnet.com/Listing/Stilesboro-Rd-NW-Kennesaw-GA/15558450/,,"143,748 SF",,
280,For Sale,"370 Gaines School Rd, Athens, GA","Athens, Georgia","$249,889",Office,Office,"2,638 SF",https://www.loopnet.com/Listing/370-Gaines-School-Rd-Athens-GA/14663550/,,,,8.26%
281,For Sale,Portfolio of 2 Properties,"Winder, Georgia","$565,000",Office,,"6,680 SF",https://www.loopnet.com/Listing/portfolio/6707718/,,,,
282,For Sale,Portfolio of 2 Properties,"Hartwell, Georgia","$750,000",Office,,"10,040 SF",https://www.loopnet.com/Listing/portfolio/6707717/,,,,
283,For Sale,"1670 McKendree Church Rd, Lawrenceville, GA","Lawrenceville, Georgia","$59,000",Land,Commercial,,https://www.loopnet.com/Listing/1670-McKendree-Church-Rd-Lawrenceville-GA/6480019/,,"5,001 SF",,
284,For Sale,"16 Lee St, Winder, GA","Winder, Georgia","$740,000",Office,Office,"8,750 SF",https://www.loopnet.com/Listing/16-Lee-St-Winder-GA/6444588/,,,B,
285,For Sale,"456 Athens St, Jefferson, GA","Jefferson, Georgia","$750,000",Office,Office,"10,032 SF",https://www.loopnet.com/Listing/456-Athens-St-Jefferson-GA/6425058/,,,B,
286,For Sale,"842 2nd Ave, Columbus, GA","Columbus, Georgia","$199,900",Office,Office Live/Work,"3,891 SF",https://www.loopnet.com/Listing/842-2nd-Ave-Columbus-GA/3689020/,,,C,
287,For Sale,"301 Point North Pl, Dalton, GA","Dalton, Georgia",Price Upon Request,Office,Office,"9,235 SF",https://www.loopnet.com/Listing/301-Point-North-Pl-Dalton-GA/23444128/,,,B,
288,For Sale,"5898 Osceola Ct, Midland, GA","Midland, Georgia",Price Upon Request,Industrial,Warehouse,"105,641 SF",https://www.loopnet.com/Listing/5898-Osceola-Ct-Midland-GA/23283636/,,,B,
289,For Sale,"3137 Austell Rd, Marietta, GA","Marietta, Georgia","$176,300",Office,Office,"1,226 SF",https://www.loopnet.com/Listing/3137-Austell-Rd-Marietta-GA/22132596/,,,C,
290,For Sale,"103 W Lake Ave, Rossville, GA","Rossville, Georgia","$750,000",Industrial,Manufacturing,"25,000 SF",https://www.loopnet.com/Listing/103-W-Lake-Ave-Rossville-GA/22852088/,,,,20.93%
291,For Sale,"N Belair Rd @ Industrial Park Dr, Evans, GA","Evans, Georgia","$850,000",Land,Commercial,,https://www.loopnet.com/Listing/N-Belair-Rd-Industrial-Park-Dr-Evans-GA/21948513/,,"82,764 SF",,
292,For Sale,"Thunder Trl, Morganton, GA","Morganton, Georgia","$65,000",Land,Residential,,https://www.loopnet.com/Listing/Thunder-Trl-Morganton-GA/8996748/,,"85,378 SF",,
293,For Sale,Portfolio of 2 Properties,"Covington, Georgia","$600,000",Office,,"7,287 SF",https://www.loopnet.com/Listing/portfolio/6707646/,,,,11.65%
294,For Sale,"22 Lee St, Winder, GA","Winder, Georgia","$585,000",Office,Office,"6,161 SF",https://www.loopnet.com/Listing/22-Lee-St-Winder-GA/6444589/,,,B,
295,For Sale,"490 Riverside Pky, Austell, GA","Austell, Georgia",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/490-Riverside-Pky-Austell-GA/23630872/,,"2,191,068 SF",,
296,For Sale,"700 Gloucester St, Brunswick, GA","Brunswick, Georgia","$2,700,000",Office,Office,"26,541 SF",https://www.loopnet.com/Listing/700-Gloucester-St-Brunswick-GA/3744795/,,,,9.07%
331,For Sale,"1100 Alakea St, Honolulu, HI","Honolulu, Hawaii","$2,500,000",Office,Office/Residential,"4,383 SF",https://www.loopnet.com/Listing/1100-Alakea-St-Honolulu-HI/23604795/,,,B,
332,For Sale,"1300 N Holopono St, Kihei, HI","Kihei, Hawaii","$575,000",Office,Office,750 SF,https://www.loopnet.com/Listing/1300-N-Holopono-St-Kihei-HI/22996531/,,,B,
333,For Sale,"1100 Alakea St, Honolulu, HI","Honolulu, Hawaii","$1,242,000 - $2,100,000",Office,Office/Residential,N/A,https://www.loopnet.com/Listing/1100-Alakea-St-Honolulu-HI/21549320/,,,B,
334,For Sale,"1100 Alakea St, Honolulu, HI","Honolulu, Hawaii","$2,550,000",Office,Office/Residential,"5,682 SF",https://www.loopnet.com/Listing/1100-Alakea-St-Honolulu-HI/21027180/,,,B,
335,For Sale,"3135 Lower Kula Rd, Kula, HI","Kula, Hawaii","$3,200,000",Retail,Storefront Retail/Residential,"7,800 SF",https://www.loopnet.com/Listing/3135-Lower-Kula-Rd-Kula-HI/19212773/,,,C,
336,For Sale,"1136 Union Mall, Honolulu, HI","Honolulu, Hawaii","$8,500,000",Office,Office/Residential,"62,115 SF",https://www.loopnet.com/Listing/1136-Union-Mall-Honolulu-HI/18408342/,,,,6.33%
337,For Sale,"1100 Alakea St, Honolulu, HI","Honolulu, Hawaii","$2,395,000",Office,Office/Residential,"4,783 SF",https://www.loopnet.com/Listing/1100-Alakea-St-Honolulu-HI/8491191/,,,B,
338,For Sale,"2707-2175 Pamoa Rd, Honolulu, HI","Honolulu, Hawaii",Price Upon Request,Specialty,Schools,"130,000 SF",https://www.loopnet.com/Listing/2707-2175-Pamoa-Rd-Honolulu-HI/18420545/,1940,,,
363,For Sale,"9360 N Government Way, Hayden, ID","Hayden, Idaho","$750,000",Office,Office,"5,488 SF",https://www.loopnet.com/Listing/9360-N-Government-Way-Hayden-ID/23235631/,,,C,
364,For Sale,"625 Mk Simpson Blvd, Idaho Falls, ID","Idaho Falls, Idaho","$30,998,000",Office,Office,"75,502 SF",https://www.loopnet.com/Listing/625-Mk-Simpson-Blvd-Idaho-Falls-ID/22853534/,,,,6.21%
365,For Sale,"850 E Lander St, Pocatello, ID","Pocatello, Idaho","$350,000",Office,Office,"5,000 SF",https://www.loopnet.com/Listing/850-E-Lander-St-Pocatello-ID/21079005/,,,B,
366,For Sale,"477440 Highway 95, Ponderay, ID","Ponderay, Idaho","$990,000",Land,Commercial,,https://www.loopnet.com/Listing/477440-Highway-95-Ponderay-ID/19169401/,,"121,968 SF",,
367,For Sale,"9021 N Government Way, Hayden, ID","Hayden, Idaho","$895,000",Retail,Restaurant,"3,750 SF",https://www.loopnet.com/Listing/9021-N-Government-Way-Hayden-ID/13652013/,,,C,
368,For Sale,"1813 N Government Way, Coeur d'Alene, ID","Coeur d'Alene, Idaho","$459,900",Office,Medical,"1,500 SF",https://www.loopnet.com/Listing/1813-N-Government-Way-Coeur-dAlene-ID/23678712/,,,B,
369,For Sale,"8882 N Government Way, Hayden, ID","Hayden, Idaho","$1,150,000",Office,Office,"9,732 SF",https://www.loopnet.com/Listing/8882-N-Government-Way-Hayden-ID/21179658/,,,B,
391,For Sale,"5559 N Elston Ave, Chicago, IL","Chicago, Illinois","$2,149,000",Office,Medical,"13,000 SF",https://www.loopnet.com/Listing/5559-N-Elston-Ave-Chicago-IL/21868084/,,,,9.61%
392,For Sale,"7775 State Route 47, Yorkville, IL","Yorkville, Illinois","$899,000",Flex,Flex,"7,700 SF",https://www.loopnet.com/Listing/7775-State-Route-47-Yorkville-IL/23647200/,1989,,,
393,For Sale,"7901 Keeler Ave, Skokie, IL","Skokie, Illinois","$2,290,000",Multifamily,Apartment,"8,450 SF",https://www.loopnet.com/Listing/7901-Keeler-Ave-Skokie-IL/23011381/,,,,
394,For Sale,"2315 Dean St, Saint Charles, IL","Saint Charles, Illinois","$5,485,000",Office,Office,"27,370 SF",https://www.loopnet.com/Listing/2315-Dean-St-Saint-Charles-IL/22852944/,,,,7.59%
395,For Sale,"1110 S Oakley Blvd, Chicago, IL","Chicago, Illinois","$4,350,000",Office,Office,"27,000 SF",https://www.loopnet.com/Listing/1110-S-Oakley-Blvd-Chicago-IL/22670974/,,,,7.30%
396,For Sale,"109 S 11th Ave, Maywood, IL","Maywood, Illinois","$49,000",Industrial,Warehouse,"4,790 SF",https://www.loopnet.com/Listing/109-S-11th-Ave-Maywood-IL/22597318/,,,C,
397,For Sale,"4260 Westbrook Dr, Aurora, IL","Aurora, Illinois","$112,560 - $259,440",Office,Office,N/A,https://www.loopnet.com/Listing/4260-Westbrook-Dr-Aurora-IL/22518349/,,,B,
398,For Sale,"6500 N Lincoln Ave, Lincolnwood, IL","Lincolnwood, Illinois","$4,200,000",Flex,Light Manufacturing,"63,446 SF",https://www.loopnet.com/Listing/6500-N-Lincoln-Ave-Lincolnwood-IL/22464423/,,,,9.19%
399,For Sale,"4200 Yucan Dr, Springfield, IL","Springfield, Illinois","$2,600,000",Flex,Showroom,"14,800 SF",https://www.loopnet.com/Listing/4200-Yucan-Dr-Springfield-IL/22394111/,,,,7.95%
400,For Sale,"6001 W Dickens Ave, Chicago, IL","Chicago, Illinois","$1,000,000",Industrial,Manufacturing,"756,056 SF",https://www.loopnet.com/Listing/6001-W-Dickens-Ave-Chicago-IL/21968962/,,,B,
401,For Sale,"1311 S 5th Ave, Maywood, IL","Maywood, Illinois","$30,000",Retail,Retail,"2,500 SF",https://www.loopnet.com/Listing/1311-S-5th-Ave-Maywood-IL/21343952/,,,C,
402,For Sale,"121 N 2nd St, Dekalb, IL","Dekalb, Illinois","$350,000",Retail,Restaurant,"2,596 SF",https://www.loopnet.com/Listing/121-N-2nd-St-Dekalb-IL/21225996/,,,C,
403,For Sale,"105 N Center St, Bloomington, IL","Bloomington, Illinois","$528,940",Office,Office,"6,963 SF",https://www.loopnet.com/Listing/105-N-Center-St-Bloomington-IL/20544687/,,,C,
404,For Sale,"2450 Lake Shore Dr, Woodstock, IL","Woodstock, Illinois","$1,391,600",Office,Office,"6,800 SF",https://www.loopnet.com/Listing/2450-Lake-Shore-Dr-Woodstock-IL/19467142/,,,,7.82%
405,For Sale,"3023 N Water St, Decatur, IL","Decatur, Illinois","$320,000",Land,Commercial,,https://www.loopnet.com/Listing/3023-N-Water-St-Decatur-IL/18475943/,,"23,958 SF",,
406,For Sale,"5744 W Irving Park Rd, Chicago, IL","Chicago, Illinois","$649,900",Office,Office/Residential,"13,500 SF",https://www.loopnet.com/Listing/5744-W-Irving-Park-Rd-Chicago-IL/18189127/,,,,11.19%
407,For Sale,"NWC Route 34 & Cannonball Trl, Yorkville, IL","Yorkville, Illinois","$390,297 - $47,276,551",Land,Commercial,,https://www.loopnet.com/Listing/NWC-Route-34-Cannonball-Trl-Yorkville-IL/14265184/,,"2,771,287 SF",,
408,For Sale,"6204 State Rte 154, Tamaroa, IL","Tamaroa, Illinois","$990,000",Sports & Entertainment,Golf Course/Driving Range,"4,500 SF",https://www.loopnet.com/Listing/6204-State-Rte-154-Tamaroa-IL/14157365/,,,B,
409,For Sale,"2601 W Grant Ave, Bellwood, IL","Bellwood, Illinois","$1,200,000",Industrial,Manufacturing,"30,041 SF",https://www.loopnet.com/Listing/2601-W-Grant-Ave-Bellwood-IL/11054201/,,,B,
410,For Sale,"150 N Scott St, Joliet, IL","Joliet, Illinois","$1,250,000",Office,Office,"26,000 SF",https://www.loopnet.com/Listing/150-N-Scott-St-Joliet-IL/7810557/,,,,2%
411,For Sale,"12474 Route 34, Plano, IL","Plano, Illinois","$1,150,000",Land,Commercial,,https://www.loopnet.com/Listing/12474-Route-34-Plano-IL/6598496/,,"411,642 SF",,
412,For Sale,"151 W Prairie Ave, Decatur, IL","Decatur, Illinois","$400,000",Specialty,Specialty,"54,535 SF",https://www.loopnet.com/Listing/151-W-Prairie-Ave-Decatur-IL/3802451/,,,B,
413,For Sale,Portfolio of 3 Properties,"Wheaton, Illinois",Price Upon Request,Office,,"103,665 SF",https://www.loopnet.com/Listing/portfolio/21047353/,,,,
414,For Sale,"4520 Weaver Pky, Warrenville, IL","Warrenville, Illinois",Price Upon Request,Flex,Light Manufacturing,"75,000 SF",https://www.loopnet.com/Listing/4520-Weaver-Pky-Warrenville-IL/19445840/,,,B,
415,For Sale,"1001 E Voorhees St, Danville, IL","Danville, Illinois","$289,000",Office,Office,"12,882 SF",https://www.loopnet.com/Listing/1001-E-Voorhees-St-Danville-IL/19523209/,,,B,
416,For Sale,"36 N Genesee St, Waukegan, IL","Waukegan, Illinois","$379,000",Retail,Bar,"3,360 SF",https://www.loopnet.com/Listing/36-N-Genesee-St-Waukegan-IL/23011837/,,,C,
417,For Sale,"SWQ Of I-355 & Archer Ave, Lockport, IL","Lockport, Illinois","$792,792 - $6,115,824",Land,Commercial,,https://www.loopnet.com/Listing/SWQ-Of-I-355-Archer-Ave-Lockport-IL/22257749/,,"413,820 SF",,
418,For Sale,"4654 W Washington Blvd, Chicago, IL","Chicago, Illinois","$144,000",Industrial,Warehouse,"18,000 SF",https://www.loopnet.com/Listing/4654-W-Washington-Blvd-Chicago-IL/21312214/,,,C,
419,For Sale,"7346 S Cottage Grove Ave, Chicago, IL","Chicago, Illinois","$200,000",Retail,Retail,"11,250 SF",https://www.loopnet.com/Listing/7346-S-Cottage-Grove-Ave-Chicago-IL/18515945/,,,C,
420,For Sale,"657 E 75th St, Chicago, IL","Chicago, Illinois","$65,000",Office,Medical,"3,800 SF",https://www.loopnet.com/Listing/657-E-75th-St-Chicago-IL/15443228/,,,C,
421,For Sale,"780 W Main St, Barrington, IL","Barrington, Illinois","$1,299,000",Land,Commercial,,https://www.loopnet.com/Listing/780-W-Main-St-Barrington-IL/8830744/,,"188,615 SF",,
422,For Sale,"801 Prairie Pointe Dr, Yorkville, IL","Yorkville, Illinois","$125,000",Land,Commercial,,https://www.loopnet.com/Listing/801-Prairie-Pointe-Dr-Yorkville-IL/8487328/,,"74,488 SF",,
423,For Sale,"Mcconnell Rd, Woodstock, IL","Woodstock, Illinois",Price Upon Request,Land,Residential,,https://www.loopnet.com/Listing/Mcconnell-Rd-Woodstock-IL/7655171/,,"166,835 SF",,
424,For Sale,"3340 Mall Loop Dr, Joliet, IL","Joliet, Illinois",Price Upon Request,Retail,Department Store,"126,365 SF",https://www.loopnet.com/Listing/3340-Mall-Loop-Dr-Joliet-IL/21142440/,,,B,
443,For Sale,"456 E Elbert St, Indianapolis, IN","Indianapolis, Indiana",Price Upon Request,Retail,Restaurant,"5,636 SF",https://www.loopnet.com/Listing/456-E-Elbert-St-Indianapolis-IN/23497498/,,,C,
444,For Sale,"700 W Broadway St, Fortville, IN","Fortville, Indiana","$585,000",Office,Office,"5,190 SF",https://www.loopnet.com/Listing/700-W-Broadway-St-Fortville-IN/23702346/,,,C,
445,For Sale,"115 N William St, South Bend, IN","South Bend, Indiana","$525,000",Office,Office,"11,040 SF",https://www.loopnet.com/Listing/115-N-William-St-South-Bend-IN/23443167/,,,,8.54%
446,For Sale,"60867 SR 15, Goshen, IN","Goshen, Indiana","$7,328,000",Land,Industrial,,https://www.loopnet.com/Listing/60867-SR-15-Goshen-IN/12925872/,,"9,975,240 SF",,
447,For Sale,"5726 Professional Cir, Indianapolis, IN","Indianapolis, Indiana",Price Upon Request,Office,Office,"25,648 SF",https://www.loopnet.com/Listing/5726-Professional-Cir-Indianapolis-IN/23632479/,,,B,
448,For Sale,"9300 Merrillville Rd, Merrillville, IN","Merrillville, Indiana","$1,250,000",Land,Commercial,,https://www.loopnet.com/Listing/9300-Merrillville-Rd-Merrillville-IN/6560494/,,"813,701 SF",,
449,For Sale,"5375 N 400 W, Mccordsville, IN","Mccordsville, Indiana",Price Upon Request,Land,Agricultural,,https://www.loopnet.com/Listing/5375-N-400-W-Mccordsville-IN/22916174/,,"6,577,560 SF",,
450,For Sale,"N 400 W, Mccordsville, IN","Mccordsville, Indiana",Price Upon Request,Land,Agricultural,,https://www.loopnet.com/Listing/N-400-W-Mccordsville-IN/22914848/,,"3,659,040 SF",,
