,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
1673,For Sale,"2929 London Blvd, Portsmouth, VA","Portsmouth, Virginia","$1,325,000",Office,Medical,"12,179 SF",https://www.loopnet.com/Listing/2929-London-Blvd-Portsmouth-VA/15742225/,,,B,
1674,For Sale,"11240 Waples Mill Rd, Fairfax, VA","Fairfax, Virginia","$8,500,000",Office,Medical,"63,919 SF",https://www.loopnet.com/Listing/11240-Waples-Mill-Rd-Fairfax-VA/15412899/,,,B,
1675,For Sale,"17857-17889 Fraley Blvd, Dumfries, VA","Dumfries, Virginia","$900,000",Flex,R&D,"6,343 SF",https://www.loopnet.com/Listing/17857-17889-Fraley-Blvd-Dumfries-VA/14872708/,,,,6.10%
1676,For Sale,"219 Chester St, Front Royal, VA","Front Royal, Virginia","$595,000",Office,Office/Residential,"11,880 SF",https://www.loopnet.com/Listing/219-Chester-St-Front-Royal-VA/14220378/,,,C,
1677,For Sale,"4565 Daisy Reid Ave, Woodbridge, VA","Woodbridge, Virginia","$304,695 - $2,334,775",Office,Medical,N/A,https://www.loopnet.com/Listing/4565-Daisy-Reid-Ave-Woodbridge-VA/8494767/,,,B,
1678,For Sale,"1702 Boulevard, Colonial Heights, VA","Colonial Heights, Virginia","$998,000",Retail,Storefront Retail/Office,"2,000 SF",https://www.loopnet.com/Listing/1702-Boulevard-Colonial-Heights-VA/5613449/,,,C,
1679,For Sale,"5510 Cherokee Ave, Alexandria, VA","Alexandria, Virginia",Price Upon Request,Office,Medical,"53,000 SF",https://www.loopnet.com/Listing/5510-Cherokee-Ave-Alexandria-VA/22258007/,,,,7.25%
1680,For Sale,"4100 Anderson Hwy, Powhatan, VA","Powhatan, Virginia",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/4100-Anderson-Hwy-Powhatan-VA/18654396/,,"1,502,820 SF",,
1681,For Sale,Portfolio of 4 Properties,"King George, Virginia",Price Upon Request,Land,,,https://www.loopnet.com/Listing/portfolio/17629109/,,"21,981,247 SF",,
1682,For Sale,"3400-3420 Anderson Hwy, Powhatan, VA","Powhatan, Virginia","$350,000 - $700,000",Land,Commercial,,https://www.loopnet.com/Listing/3400-3420-Anderson-Hwy-Powhatan-VA/17112899/,,"98,881 SF",,
1683,For Sale,"4897 Prince William Pkwy, Woodbridge, VA","Woodbridge, Virginia","$277,000",Office,Office,"1,500 SF",https://www.loopnet.com/Listing/4897-Prince-William-Pkwy-Woodbridge-VA/22460685/,,,B,
1684,For Sale,"Keyser, Culpeper, VA","Culpeper, Virginia","$979,337",Land,Commercial,,https://www.loopnet.com/Listing/Keyser-Culpeper-VA/22429865/,,"230,432 SF",,
1685,For Sale,"Chandler, Culpeper, VA","Culpeper, Virginia","$718,740",Land,Commercial,,https://www.loopnet.com/Listing/Chandler-Culpeper-VA/22429827/,,"359,370 SF",,
1686,For Sale,"E Chandler St @ Keyser Rd, Culpeper, VA","Culpeper, Virginia","$1,698,007",Land,Industrial,,https://www.loopnet.com/Listing/E-Chandler-St-Keyser-Rd-Culpeper-VA/22403063/,,"589,802 SF",,
1687,For Sale,"106 Chester St, Front Royal, VA","Front Royal, Virginia","$495,000",Office,Office,"6,880 SF",https://www.loopnet.com/Listing/106-Chester-St-Front-Royal-VA/21110903/,,,C,
1688,For Sale,"12780 Black Forest Ln, Woodbridge, VA","Woodbridge, Virginia","$285,000",Land,Commercial,,https://www.loopnet.com/Listing/12780-Black-Forest-Ln-Woodbridge-VA/20636595/,,"62,726 SF",,
1689,For Sale,"1750 Jefferson Davis Hwy, Stafford, VA","Stafford, Virginia","$200,000",Land,Commercial,,https://www.loopnet.com/Listing/1750-Jefferson-Davis-Hwy-Stafford-VA/16451935/,,"42,253 SF",,
1690,For Sale,"17 Venture Dr, Stafford, VA","Stafford, Virginia","$369,000",Land,Commercial,,https://www.loopnet.com/Listing/17-Venture-Dr-Stafford-VA/16149240/,,"182,952 SF",,
1691,For Sale,Portfolio of 3 Properties,"Leesburg, Virginia","$12,200,000",Office,,"44,121 SF",https://www.loopnet.com/Listing/portfolio/13956719/,,,,
1692,For Sale,"2488 N Landing Rd, Virginia Beach, VA","Virginia Beach, Virginia","$200,000",Office,Loft/Creative Space,"1,666 SF",https://www.loopnet.com/Listing/2488-N-Landing-Rd-Virginia-Beach-VA/13943445/,,,B,
1693,For Sale,"9201 Halls Run Rd, Chesterfield, VA","Chesterfield, Virginia","$350,000",Land,Commercial,,https://www.loopnet.com/Listing/9201-Halls-Run-Rd-Chesterfield-VA/10847887/,,"114,563 SF",,
1694,For Sale,"2900-3001 Peyton Rd, Richmond, VA","Richmond, Virginia","$575,000",Land,Industrial,,https://www.loopnet.com/Listing/2900-3001-Peyton-Rd-Richmond-VA/7790087/,,"1,239,718 SF",,
1695,For Sale,"1927 Jefferson Davis Hwy, Stafford, VA","Stafford, Virginia","$600,000",Land,Commercial,,https://www.loopnet.com/Listing/1927-Jefferson-Davis-Hwy-Stafford-VA/3911232/,,"39,640 SF",,
1696,For Sale,"6601 Hoadly Rd, Manassas, VA","Manassas, Virginia","$2,116,856",Land,Commercial,,https://www.loopnet.com/Listing/6601-Hoadly-Rd-Manassas-VA/3888523/,,"324,958 SF",,
1697,For Sale,"32 Bells Hill Rd, Stafford, VA","Stafford, Virginia","$980,000",Land,Commercial,,https://www.loopnet.com/Listing/32-Bells-Hill-Rd-Stafford-VA/3874109/,,"64,469 SF",,
1698,For Sale,"20 PGA Dr, Stafford, VA","Stafford, Virginia","$1,650,000",Office,Office,"10,000 SF",https://www.loopnet.com/Listing/20-PGA-Dr-Stafford-VA/3626386/,,,,7.20%
1699,For Sale,"29 Decatur Rd, Stafford, VA","Stafford, Virginia",Price Upon Request,Land,Commercial,,https://www.loopnet.com/Listing/29-Decatur-Rd-Stafford-VA/3852756/,,"72,091,800 SF",,
1769,For Sale,"228 W 1st St, Port Angeles, WA","Port Angeles, Washington","$2,800,000",Retail,Retail,"29,084 SF",https://www.loopnet.com/Listing/228-W-1st-St-Port-Angeles-WA/22875556/,,,,7.44%
1770,For Sale,"275 SE Pioneer Way, Oak Harbor, WA","Oak Harbor, Washington","$3,965,000",Office,Office,"25,399 SF",https://www.loopnet.com/Listing/275-SE-Pioneer-Way-Oak-Harbor-WA/22482987/,,,,7.56%
1771,For Sale,"205 N 11th Ave, Walla Walla, WA","Walla Walla, Washington","$2,145,780",Industrial,Warehouse,"51,090 SF",https://www.loopnet.com/Listing/205-N-11th-Ave-Walla-Walla-WA/20315002/,,,C,
1772,For Sale,"1172 SR 532, Camano Island, WA","Camano Island, Washington","$1,750,000",Land,Industrial,,https://www.loopnet.com/Listing/1172-SR-532-Camano-Island-WA/16644376/,,"396,396 SF",,
